Link,Interval,Vul alpha 1
1, t1,2.74E-06
1, t2,9.68E-06
1, t3,1.27E-05
2, t1,0.008804054
2, t2,0.00273349
2, t3,4.00E-05
3, t1,0.000139891
3, t2,9.95E-05
3, t3,0.000401799
4, t1,1.22E-05
4, t2,5.54E-06
4, t3,9.61E-06
5, t1,7.82E-07
5, t2,6.40E-06
5, t3,1.81E-05
6, t1,6.85E-05
6, t2,7.65E-05
6, t3,1.88E-05
7, t1,9.58E-05
7, t2,3.28E-05
7, t3,0.000456589
8, t1,1.71E-06
8, t2,7.19E-06
8, t3,0.000239067
9, t1,0.00031335
9, t2,0.00053701
9, t3,0.000402029
10, t1,5.49E-05
10, t2,3.78E-05
10, t3,0.02330098
11, t1,4.16E-05
11, t2,6.31E-05
11, t3,0.000338805
12, t1,4.06E-05
12, t2,0.000117232
12, t3,0.00040971
13, t1,0.001255439
13, t2,0.010151652
13, t3,0.004229286
14, t1,4.90E-05
14, t2,9.30E-05
14, t3,0.001132718
15, t1,1.61E-05
15, t2,0.000197415
15, t3,0.000149962
16, t1,6.44E-06
16, t2,1.06E-05
16, t3,1.88E-05
17, t1,0.001804424
17, t2,0.001905055
17, t3,0.000618958
18, t1,0.000266621
18, t2,4.79E-05
18, t3,8.76E-06
19, t1,7.06E-07
19, t2,2.11E-05
19, t3,4.94E-05
20, t1,1.18E-07
20, t2,5.46E-06
20, t3,0.000160685
21, t1,0.001047579
21, t2,0.014968254
21, t3,0.050019331
22, t1,3.23E-05
22, t2,6.31E-05
22, t3,0.009585246
23, t1,1.16E-05
23, t2,3.63E-05
23, t3,0.000142491
24, t1,1.39E-05
24, t2,0.000102392
24, t3,0.00098404
25, t1,8.25E-05
25, t2,0.000970584
25, t3,0.001311677
26, t1,1.75E-06
26, t2,5.04E-06
26, t3,2.20E-05
27, t1,0.007413416
27, t2,0.006581147
27, t3,0.019119547
28, t1,6.88E-05
28, t2,1.58E-05
28, t3,0.005147452
29, t1,6.27E-06
29, t2,8.22E-05
29, t3,0.053808745
30, t1,2.78E-05
30, t2,0.000106658
30, t3,0.012825802
31, t1,3.71E-05
31, t2,8.21E-05
31, t3,0.0008068
32, t1,0.00247284
32, t2,0.001733778
32, t3,0.001144866
33, t1,2.61E-05
33, t2,0.000246348
33, t3,0.100369438
34, t1,0.00086227
34, t2,0.000558539
34, t3,0.006367632
35, t1,2.16E-05
35, t2,3.46E-05
35, t3,1.30E-05
36, t1,4.50E-05
36, t2,2.89E-05
36, t3,0.016471388
37, t1,0.006297924
37, t2,0.016201356
37, t3,0.000114109
38, t1,6.47E-06
38, t2,4.10E-06
38, t3,0.003564044
39, t1,0.003624321
39, t2,0.01118729
39, t3,0.000104155
40, t1,0.000332982
40, t2,0.000437403
40, t3,0.010860138
41, t1,0.002547144
41, t2,0.002300635
41, t3,0.003660306
42, t1,8.50E-07
42, t2,8.08E-07
42, t3,3.47E-06
43, t1,0.004890232
43, t2,0.085796394
43, t3,0.014897838
44, t1,1.97E-05
44, t2,8.62E-05
44, t3,0.000177877
45, t1,2.74E-05
45, t2,2.41E-05
45, t3,0.007242819
46, t1,4.50E-06
46, t2,3.11E-06
46, t3,0.000635798
47, t1,9.80E-06
47, t2,4.85E-05
47, t3,0.000201666
48, t1,0.000639631
48, t2,0.003919759
48, t3,0.022821112
49, t1,6.84E-07
49, t2,1.61E-06
49, t3,2.42E-06
50, t1,5.53E-06
50, t2,5.44E-05
50, t3,0.046887949
51, t1,0.000933151
51, t2,0.064692536
51, t3,0.001379264
52, t1,1.44E-05
52, t2,1.08E-05
52, t3,0.00061532
53, t1,2.52E-06
53, t2,9.16E-06
53, t3,8.90E-05
54, t1,0.000111962
54, t2,2.88E-05
54, t3,8.42E-06
55, t1,0.002094585
55, t2,0.001997037
55, t3,1.66E-05
56, t1,0.100544843
56, t2,252.4342643
56, t3,0.00011379
57, t1,0.000104092
57, t2,2.53E-05
57, t3,0.000149978
58, t1,0.000115862
58, t2,0.000110715
58, t3,0.019659774
59, t1,7.32E-06
59, t2,1.34E-05
59, t3,0.005255909
60, t1,0.000773067
60, t2,0.000472291
60, t3,8.36E-05
61, t1,8.31E-06
61, t2,6.29E-05
61, t3,0.002682466
62, t1,2.37E-05
62, t2,1.87E-05
62, t3,8.54E-06
63, t1,3.63E-05
63, t2,3.79E-05
63, t3,0.000145951
64, t1,2.03E-06
64, t2,4.34E-06
64, t3,0.000210781
65, t1,5.65E-05
65, t2,7.96E-05
65, t3,0.000277459
66, t1,0.000132066
66, t2,0.000159587
66, t3,0.000169094
67, t1,1.13E-05
67, t2,2.66E-05
67, t3,0.000301921
68, t1,1.39E-05
68, t2,1.88E-05
68, t3,0.000105387
69, t1,1.17E-06
69, t2,6.60E-06
69, t3,1.49E-05
70, t1,9.23E-05
70, t2,0.000163461
70, t3,0.066229005
71, t1,8.45E-06
71, t2,2.24E-05
71, t3,0.000384655
72, t1,0.00025772
72, t2,0.000685992
72, t3,0.001061263
73, t1,8.12E-07
73, t2,8.07E-07
73, t3,2.77E-06
74, t1,8.00E-06
74, t2,8.09E-06
74, t3,1.89E-05
75, t1,0.002132722
75, t2,0.001958873
75, t3,0.000376134
76, t1,8.77E-06
76, t2,2.63E-05
76, t3,3.60E-05
