Link,Interval,Vul
1, t1,4.60E-06
1, t2,2.41E-05
1, t3,2.95E-05
2, t1,0.036275639
2, t2,0.016382368
2, t3,9.13E-05
3, t1,0.000297869
3, t2,0.000198194
3, t3,0.001105681
4, t1,2.56E-05
4, t2,1.53E-05
4, t3,2.85E-05
5, t1,1.33E-06
5, t2,1.46E-05
5, t3,3.98E-05
6, t1,0.000183782
6, t2,0.00327437
6, t3,4.52E-05
7, t1,7.84E-05
7, t2,5.55E-05
7, t3,0.001908334
8, t1,2.70E-06
8, t2,1.20E-05
8, t3,0.001123688
9, t1,0.005383697
9, t2,0.107630192
9, t3,0.00142111
10, t1,0.000106907
10, t2,7.35E-05
10, t3,0.068997491
11, t1,8.83E-05
11, t2,0.000124018
11, t3,0.000645277
12, t1,8.89E-05
12, t2,0.000176678
12, t3,0.000537603
13, t1,0.004654957
13, t2,0.097676833
13, t3,0.010119073
14, t1,0.000105414
14, t2,0.00016833
14, t3,0.003819715
15, t1,7.21E-05
15, t2,0.002160946
15, t3,0.001103874
16, t1,1.30E-05
16, t2,1.14E-05
16, t3,0.000119559
17, t1,0.003905717
17, t2,0.027193684
17, t3,0.000579325
18, t1,0.001210114
18, t2,0.002425343
18, t3,8.42E-06
19, t1,1.53E-06
19, t2,5.69E-05
19, t3,0.000267407
20, t1,3.07E-07
20, t2,8.79E-06
20, t3,0.000292443
21, t1,0.004020761
21, t2,0.126426096
21, t3,0.03569566
22, t1,6.87E-05
22, t2,0.000503233
22, t3,0.032823685
23, t1,2.37E-05
23, t2,5.58E-05
23, t3,0.000129874
24, t1,1.96E-05
24, t2,0.000384123
24, t3,0.007233847
25, t1,0.000170302
25, t2,0.003446283
25, t3,0.001732729
26, t1,2.80E-06
26, t2,8.79E-06
26, t3,2.27E-05
27, t1,0.00542782
27, t2,0.001569108
27, t3,0.051494284
28, t1,0.000188554
28, t2,3.70E-05
28, t3,0.023748064
29, t1,2.83E-05
29, t2,0.031040368
29, t3,0.308187498
30, t1,2.69E-05
30, t2,0.000225981
30, t3,0.057310468
31, t1,0.000221339
31, t2,0.000150186
31, t3,0.002068657
32, t1,0.011947594
32, t2,0.006179408
32, t3,0.005871892
33, t1,8.17E-05
33, t2,0.000453794
33, t3,0.22750676
34, t1,0.000121706
34, t2,7.65E-05
34, t3,0.004545526
35, t1,4.39E-05
35, t2,7.00E-05
35, t3,3.15E-05
36, t1,0.0002325
36, t2,5.96E-05
36, t3,0.046518794
37, t1,0.018734275
37, t2,0.037601466
37, t3,0.000220357
38, t1,1.68E-05
38, t2,1.25E-05
38, t3,0.009591644
39, t1,0.008990258
39, t2,0.043844858
39, t3,0.000261226
40, t1,0.000555987
40, t2,0.000721455
40, t3,0.029301519
41, t1,0.004547181
41, t2,0.000789167
41, t3,0.019105928
42, t1,2.51E-06
42, t2,1.06E-06
42, t3,7.65E-06
43, t1,0.007258158
43, t2,0.028240751
43, t3,0.013827178
44, t1,6.20E-05
44, t2,0.000175064
44, t3,0.001187076
45, t1,7.97E-05
45, t2,8.23E-05
45, t3,0.033796406
46, t1,5.91E-06
46, t2,5.97E-06
46, t3,0.001711978
47, t1,3.30E-05
47, t2,0.000585398
47, t3,0.00120771
48, t1,9.64E-05
48, t2,0.000556066
48, t3,0.050849145
49, t1,5.42E-06
49, t2,0.001431025
49, t3,4.73E-06
50, t1,8.77E-06
50, t2,0.000134746
50, t3,0.095301673
51, t1,0.005411115
51, t2,0.697713514
51, t3,0.003742259
52, t1,2.35E-05
52, t2,2.53E-05
52, t3,0.002090027
53, t1,2.81E-06
53, t2,1.86E-05
53, t3,0.000201986
54, t1,0.000288885
54, t2,0.000547348
54, t3,1.31E-05
55, t1,0.006713902
55, t2,0.127497386
55, t3,3.61E-05
56, t1,0.269326428
56, t2,3.825985289
56, t3,0.001045818
57, t1,0.000221088
57, t2,8.18E-05
57, t3,0.021031612
58, t1,0.000124906
58, t2,0.000392233
58, t3,0.066297287
59, t1,1.42E-05
59, t2,2.25E-05
59, t3,0.007002528
60, t1,0.004275658
60, t2,0.113093927
60, t3,0.000372181
61, t1,1.46E-05
61, t2,0.000101516
61, t3,0.039131468
62, t1,5.46E-05
62, t2,4.43E-05
62, t3,0.000377229
63, t1,7.65E-05
63, t2,6.90E-05
63, t3,0.000100727
64, t1,3.21E-06
64, t2,1.90E-06
64, t3,4.84E-05
65, t1,9.35E-05
65, t2,0.000142046
65, t3,0.001256458
66, t1,0.0002437
66, t2,0.0003575
66, t3,0.000740858
67, t1,1.15E-05
67, t2,1.75E-05
67, t3,0.000630424
68, t1,3.12E-05
68, t2,4.43E-05
68, t3,0.001789386
69, t1,1.51E-06
69, t2,9.35E-06
69, t3,2.36E-05
70, t1,0.000181909
70, t2,0.000309053
70, t3,0.078901754
71, t1,1.36E-05
71, t2,3.31E-05
71, t3,0.000850325
72, t1,0.000776857
72, t2,0.001579358
72, t3,0.003308598
73, t1,1.83E-06
73, t2,1.40E-06
73, t3,5.68E-06
74, t1,1.89E-05
74, t2,1.85E-05
74, t3,4.67E-05
75, t1,0.003536045
75, t2,0.001771492
75, t3,0.005364962
76, t1,1.25E-05
76, t2,4.54E-05
76, t3,0.000298336
