interval_begin,interval_end,interval_id,edge_CO2_abs,edge_CO2_normed,edge_CO2_perVeh,edge_CO_abs,edge_CO_normed,edge_CO_perVeh,edge_HC_abs,edge_HC_normed,edge_HC_perVeh,edge_NOx_abs,edge_NOx_normed,edge_NOx_perVeh,edge_PMx_abs,edge_PMx_normed,edge_PMx_perVeh,edge_electricity_abs,edge_electricity_normed,edge_electricity_perVeh,edge_fuel_abs,edge_fuel_normed,edge_fuel_perVeh,edge_id,edge_sampledSeconds,edge_traveltime
0.00,1.00,em1,,,,,,,,,,,,,,,,,,,,,,,,
1.00,2.00,em1,1131.397972,40730326.982560,78.477274,12.369924,445317.263518,0.858016,0.481155,17321.587695,0.033374,1.962394,70646.170790,0.136118,0.082389,2966.010506,0.005715,0,0,0,0.451071,16238.545457,0.031288,-1to0,1.00,0.07
2.00,3.00,em1,1904.977754,68579199.146034,61.146204,23.392832,842141.943987,0.750866,0.701642,25259.104275,0.022521,3.681727,132542.181552,0.118177,0.185285,6670.262935,0.005947,0,0,0,0.759485,27341.456422,0.024378,-1to0,1.00,0.03
3.00,4.00,em1,339.828209,12233815.518677,76.734208,5.669004,204084.157814,1.280078,0.122395,4406.232454,0.027637,0.753294,27118.594494,0.170096,0.048168,1734.057058,0.010877,0,0,0,0.135484,4877.431331,0.030593,-1to0,0.08,0.02
3.00,4.00,em1,2013.091265,7348.761931,756729.739049,33.582330,122.591835,12623.743692,0.725052,2.646791,272.550058,4.462402,16.289938,1677.436357,0.285341,1.041635,107.261103,0,0,0,0.802588,2.929837,301.696338,0to1,0.46,174.35
4.00,5.00,em1,1449.007387,52164265.934525,79.048605,18.233857,656418.857293,0.994723,0.588178,21174.418166,0.032087,2.712685,97656.661047,0.147987,0.133069,4790.484922,0.007259,0,0,0,0.577697,20797.078174,0.031515,-1to0,1.00,0.05
4.00,5.00,em1,4303.671549,15710.493703,557162.094519,62.738655,229.026597,8122.274260,1.444634,5.273616,187.025243,9.199948,33.584285,1191.044075,0.534846,1.952449,69.242304,0,0,0,1.715807,6.263530,222.131863,0to1,1.00,129.46
5.00,6.00,em1,1840.692929,66264945.456347,58.122106,22.363595,805089.409679,0.706158,0.664141,23909.059852,0.020971,3.572502,128610.062618,0.112806,0.179881,6475.713897,0.005680,0,0,0,0.733856,26418.799870,0.023172,-1to0,0.91,0.03
5.00,6.00,em1,7293.221312,26623.803930,707856.814682,127.700522,466.168995,12394.205602,2.554015,9.323396,247.884536,16.658060,60.810017,1616.778166,1.090999,3.982678,105.888928,0,0,0,2.907694,10.614497,282.211516,0to1,1.00,97.06
6.00,7.00,em1,1273.426525,45843354.909005,78.059929,14.907394,536666.167156,0.913810,0.528076,19010.747120,0.032371,2.294442,82599.924772,0.140647,0.104288,3754.353366,0.006393,0,0,0,0.507695,18277.029775,0.031121,-1to0,1.00,0.06
6.00,7.00,em1,9563.582916,34911.727690,608203.435876,156.191818,570.176080,9933.139200,3.267689,11.928653,207.811187,21.283478,77.695043,1353.539206,1.314093,4.797079,83.570760,0,0,0,3.812852,13.918765,242.481295,0to1,1.57,100.01
7.00,8.00,em1,2246.677449,80880388.176566,66.693599,31.249148,1124969.315712,0.927645,0.820577,29540.777012,0.024359,4.575648,164723.329646,0.135830,0.254096,9147.450266,0.007543,0,0,0,0.895715,32245.748230,0.026590,-1to0,0.93,0.03
7.00,8.00,em1,7650.773149,27929.041989,368312.595434,86.593044,316.106715,4168.638677,2.279393,8.320891,109.731265,15.440119,56.363942,743.296165,0.767686,2.802427,36.956840,0,0,0,3.050246,11.134880,146.840578,0to1,2.00,96.28
8.00,9.00,em1,4709.332494,17191.353397,213338.634890,67.519991,246.480797,3058.739792,1.546150,5.644199,70.042518,10.063902,36.738136,455.907320,0.576848,2.105775,26.131924,0,0,0,1.877538,6.853926,85.054804,0to1,2.00,90.60
8.00,9.00,em1,3755.065762,13707.815835,665058.054648,58.555349,213.755496,10370.712306,1.321832,4.825329,234.109059,8.135133,29.697190,1440.809790,0.495454,1.808648,87.749627,0,0,0,1.497086,5.465092,265.148276,0to2,0.95,167.67
9.00,10.00,em1,1339.893527,48236166.959567,78.296307,16.145275,581229.897215,0.943445,0.550595,19821.418681,0.032174,2.451880,88267.678285,0.143275,0.114984,4139.406324,0.006719,0,0,0,0.534195,19231.006532,0.031216,-1to0,1.00,0.06
9.00,10.00,em1,7324.673646,26738.620245,304266.183733,69.442864,253.500219,2884.649380,2.006354,7.324168,83.343742,14.402415,52.575817,598.274815,0.676888,2.470969,28.117837,0,0,0,2.920236,10.660280,121.306284,0to1,2.00,83.08
9.00,10.00,em1,5018.590189,18320.294350,613821.183166,78.718079,287.359262,9627.967702,1.716411,6.265736,209.933401,10.997192,40.145097,1345.060864,0.670887,2.449065,82.055884,0,0,0,2.000834,7.304016,244.720958,0to2,1.00,122.31
10.00,11.00,em1,2025.573557,72920648.042870,61.592134,26.048304,937738.940556,0.792057,0.735720,26485.919959,0.022371,4.006411,144230.799212,0.121824,0.209924,7557.250774,0.006383,0,0,0,0.807565,29072.324399,0.024556,-1to0,0.94,0.03
10.00,11.00,em1,8602.493750,31403.284932,330204.345128,100.086933,365.365970,3841.809263,2.467670,9.008195,94.720822,17.774047,64.883914,682.251889,0.972417,3.549796,37.325969,0,0,0,3.429683,12.520011,131.647434,0to1,2.00,76.77
10.00,11.00,em1,6276.167909,22911.064493,603033.408071,101.517181,370.587072,9754.081260,2.128600,7.770427,204.522441,13.957348,50.951107,1341.064681,0.862322,3.147895,82.854537,0,0,0,2.502211,9.134286,240.420069,0to2,1.00,96.08
