,0to1,0to2,1to0,1to2,1to3,2to0,2to4,3to4,3to5,4to2,4to3,4to5,5to3
0,7.834,17.646,0.0,0.0,6.358,0.0,15.582,0.0,7.486,0.0,0.0,20.15,0.0
1,26.01,0.0,0.0,0.0,20.662,0.0,0.0,0.0,26.246,0.0,0.0,0.0,0.0
2,0.0,26.104,0.0,0.0,0.0,0.0,20.664,0.0,0.0,0.0,0.0,25.718,0.0
3,25.888,0.0,0.0,0.0,20.584,0.0,0.0,0.0,26.078,0.0,0.0,0.0,0.0
4,0.0,26.154,0.0,0.0,0.0,0.0,20.686,0.0,0.0,0.0,0.0,25.786,0.0
5,26.106,0.0,0.0,0.0,20.778,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0
6,0.0,26.14,0.0,0.0,0.0,0.0,20.664,0.0,0.0,0.0,0.0,25.788,0.0
7,26.01,0.0,0.0,0.0,20.662,0.0,0.0,0.0,26.246,0.0,0.0,0.0,0.0
8,0.0,26.104,0.0,0.0,0.0,0.0,20.664,0.0,0.0,0.0,0.0,25.718,0.0
9,25.888,0.0,0.0,0.0,20.584,0.0,0.0,0.0,26.078,0.0,0.0,0.0,0.0
10,0.0,26.154,0.0,0.0,0.0,0.0,20.686,0.0,0.0,0.0,0.0,25.786,0.0
11,25.888,0.0,0.0,0.0,20.584,0.0,0.0,0.0,26.078,0.0,0.0,0.0,0.0
12,0.0,26.154,0.0,0.0,0.0,0.0,20.686,0.0,0.0,0.0,0.0,25.786,0.0
13,26.13,0.0,0.0,0.0,20.722,0.0,0.044,0.0,23.6,0.0,0.0,2.652,0.0
14,2.168,23.952,0.0,0.0,4.64,0.0,16.028,0.0,9.58,0.0,0.0,16.354,0.0
15,25.954,0.01,0.0,0.0,19.096,0.0,1.544,0.0,20.496,0.0,0.0,5.57,0.0
16,2.168,23.952,0.0,0.0,4.64,0.0,16.028,0.0,9.58,0.0,0.0,16.354,0.0
17,4.71,21.344,0.0,0.0,0.856,0.0,19.81,0.0,0.0,0.0,0.0,25.746,0.0
18,25.826,0.0,0.0,0.0,20.548,0.0,0.044,0.0,23.442,0.0,0.0,2.632,0.0
19,2.168,23.952,0.0,0.0,4.64,0.0,16.028,0.0,9.58,0.0,0.0,16.354,0.0
20,25.916,0.0,0.0,0.0,20.504,0.0,0.038,0.0,23.418,0.0,0.0,2.594,0.0
21,0.018,26.132,0.0,0.0,1.6,0.0,19.094,0.0,3.148,0.0,0.0,22.73,0.0
22,25.888,0.0,0.0,0.0,20.584,0.0,0.0,0.0,26.078,0.0,0.0,0.0,0.0
23,0.0,26.14,0.0,0.0,0.0,0.0,20.664,0.0,0.0,0.0,0.0,25.788,0.0
24,26.01,0.0,0.0,0.0,20.662,0.0,0.0,0.0,26.246,0.0,0.0,0.0,0.0
25,0.0,26.054,0.0,0.0,0.0,0.0,20.628,0.0,0.0,0.0,0.0,25.748,0.0
26,25.916,0.0,0.0,0.0,20.504,0.0,0.038,0.0,23.418,0.0,0.0,2.594,0.0
27,2.122,23.974,0.0,0.0,4.59,0.0,15.996,0.0,9.638,0.0,0.0,16.344,0.0
28,26.13,0.0,0.0,0.0,20.722,0.0,0.044,0.0,23.6,0.0,0.0,2.652,0.0
29,0.02,25.99,0.0,0.0,1.608,0.0,19.042,0.0,5.818,0.0,0.0,20.034,0.0
30,4.71,21.344,0.0,0.0,0.856,0.0,19.81,0.0,0.0,0.0,0.0,25.746,0.0
31,25.916,0.0,0.0,0.0,20.504,0.0,0.038,0.0,23.418,0.0,0.0,2.594,0.0
32,6.85,19.21,0.0,0.0,5.484,0.0,15.146,0.0,9.638,0.0,0.0,16.346,0.0
33,26.13,0.0,0.0,0.0,20.722,0.0,0.044,0.0,23.6,0.0,0.0,2.652,0.0
34,2.168,23.952,0.0,0.0,4.64,0.0,16.028,0.0,9.58,0.0,0.0,16.354,0.0
35,4.812,21.358,0.0,0.0,0.924,0.0,19.794,0.0,0.0,0.0,0.0,25.782,0.0
36,25.916,0.0,0.0,0.0,20.504,0.0,0.038,0.0,23.418,0.0,0.0,2.594,0.0
37,6.988,19.198,0.0,0.0,5.554,0.0,15.142,0.0,9.58,0.0,0.0,16.354,0.0
38,25.826,0.0,0.0,0.0,20.548,0.0,0.044,0.0,23.442,0.0,0.0,2.632,0.0
39,2.154,24.028,0.0,0.0,4.594,0.0,16.08,0.0,6.956,0.0,0.0,18.952,0.0
40,6.988,19.198,0.0,0.0,5.554,0.0,15.142,0.0,9.58,0.0,0.0,16.354,0.0
41,25.826,0.0,0.0,0.0,20.548,0.0,0.044,0.0,23.442,0.0,0.0,2.632,0.0
42,2.154,24.028,0.0,0.0,4.594,0.0,16.08,0.0,6.956,0.0,0.0,18.952,0.0
43,6.988,19.198,0.0,0.0,5.554,0.0,15.142,0.0,9.58,0.0,0.0,16.354,0.0
44,25.826,0.0,0.0,0.0,20.548,0.0,0.044,0.0,23.442,0.0,0.0,2.632,0.0
45,3.852,22.304,0.0,0.0,4.594,0.0,16.08,0.0,6.956,0.0,0.0,18.946,0.0
46,6.988,19.198,0.0,0.0,5.554,0.0,15.142,0.0,9.58,0.0,0.0,16.354,0.0
47,25.826,0.0,0.0,0.0,20.548,0.0,0.044,0.0,23.442,0.0,0.0,2.632,0.0
48,4.812,21.348,0.0,0.0,0.92,0.0,19.766,0.0,0.0,0.0,0.0,25.792,0.0
49,25.888,0.0,0.0,0.0,20.584,0.0,0.0,0.0,26.078,0.0,0.0,0.0,0.0
50,1.704,24.48,0.0,0.0,0.0,0.0,20.682,0.0,0.0,0.0,0.0,25.788,0.0
51,25.916,0.0,0.0,0.0,20.504,0.0,0.038,0.0,23.418,0.0,0.0,2.594,0.0
52,3.92,22.184,0.0,0.0,4.64,0.0,16.03,0.0,9.58,0.0,0.0,16.358,0.0
53,6.914,19.18,0.0,0.0,5.498,0.0,15.19,0.0,6.956,0.0,0.0,18.958,0.0
54,25.826,0.0,0.0,0.0,20.548,0.0,0.044,0.0,23.442,0.0,0.0,2.632,0.0
55,3.92,22.184,0.0,0.0,4.64,0.0,16.03,0.0,9.58,0.0,0.0,16.358,0.0
56,6.914,19.18,0.0,0.0,5.498,0.0,15.19,0.0,6.956,0.0,0.0,18.958,0.0
57,25.826,0.0,0.0,0.0,20.548,0.0,0.044,0.0,23.442,0.0,0.0,2.632,0.0
58,6.988,19.198,0.0,0.0,5.554,0.0,15.142,0.0,9.58,0.0,0.0,16.354,0.0
59,6.914,19.18,0.0,0.0,5.498,0.0,15.19,0.0,6.956,0.0,0.0,18.958,0.0
60,25.826,0.0,0.0,0.0,20.548,0.0,0.044,0.0,23.442,0.0,0.0,2.632,0.0
61,3.92,22.184,0.0,0.0,4.64,0.0,16.03,0.0,9.58,0.0,0.0,16.358,0.0
62,6.914,19.18,0.0,0.0,5.498,0.0,15.19,0.0,6.956,0.0,0.0,18.958,0.0
63,25.826,0.0,0.0,0.0,20.548,0.0,0.044,0.0,23.442,0.0,0.0,2.632,0.0
64,6.988,19.198,0.0,0.0,5.554,0.0,15.142,0.0,9.58,0.0,0.0,16.354,0.0
65,6.9,19.374,0.0,0.0,4.008,0.0,16.808,0.0,3.952,0.0,0.0,22.01,0.0
66,25.826,0.0,0.0,0.0,20.548,0.0,0.044,0.0,23.442,0.0,0.0,2.632,0.0
67,6.988,19.198,0.0,0.0,5.554,0.0,15.142,0.0,9.58,0.0,0.0,16.354,0.0
68,6.914,19.18,0.0,0.0,5.498,0.0,15.19,0.0,6.956,0.0,0.0,18.958,0.0
69,25.916,0.0,0.0,0.0,20.504,0.0,0.038,0.0,23.418,0.0,0.0,2.594,0.0
70,6.85,19.21,0.0,0.0,5.484,0.0,15.146,0.0,9.638,0.0,0.0,16.346,0.0
71,6.914,19.18,0.0,0.0,5.498,0.0,15.19,0.0,6.956,0.0,0.0,18.958,0.0
72,25.916,0.0,0.0,0.0,20.504,0.0,0.038,0.0,23.418,0.0,0.0,2.594,0.0
73,6.85,19.21,0.0,0.0,5.484,0.0,15.146,0.0,9.638,0.0,0.0,16.346,0.0
