Iteration,0to1,0to2,1to0,1to2,1to3,2to0,2to4,3to4,3to5,4to2,4to3,4to5,5to3
1,120.16,140.44,73.54,88.29,81.83,73.54,86,88.53,116.87,59.19,88.53,111.66,73.8
2,138.95,123.71,73.54,88.29,87.78,73.54,79.83,88.53,129.33,59.19,88.53,106.47,73.8
3,133.95,129.08,73.54,88.29,85.96,73.54,81.64,88.53,128.26,59.19,88.53,109.8,73.8
4,132.24,131.07,73.54,88.29,85.14,73.54,82.43,88.53,127.61,59.19,88.53,111.51,73.8
5,130.77,132.56,73.54,88.29,84.19,73.54,83.28,88.53,126.69,59.19,89.73,112.86,73.8
6,129.78,133.56,73.54,88.29,83.56,73.54,83.85,88.53,126.06,59.19,90.53,113.77,73.8
7,129.07,134.31,73.54,88.29,83.18,73.54,84.2,88.53,125.85,59.19,90.84,114.25,73.8
8,128.52,134.86,73.54,88.29,82.84,73.54,84.51,88.53,125.49,59.19,91.28,114.75,73.8
9,128.1,135.3,73.54,88.29,82.62,73.54,84.71,88.53,125.36,59.19,91.45,115.03,73.8
10,127.77,135.66,73.54,88.29,82.44,73.54,84.88,88.53,125.26,59.19,91.6,115.26,73.8
11,128.16,135.23,73.54,88.29,82.54,73.54,84.75,88.53,125.65,59.19,91.83,115,73.8
12,127.93,135.48,73.54,88.29,82.42,73.54,84.86,88.53,125.58,59.19,91.92,115.16,73.8
13,127.73,135.69,73.54,88.29,82.29,73.54,84.98,88.53,125.45,59.19,92.08,115.35,73.8
14,127.98,135.42,73.54,88.29,82.37,73.54,84.88,88.53,125.76,59.19,92.15,115.14,73.8
15,127.83,135.57,73.54,88.29,82.28,73.54,84.97,88.53,125.71,59.19,92.27,115.24,73.8
16,127.7,135.71,73.54,88.29,82.2,73.54,85.05,88.53,125.62,59.19,92.38,115.36,73.8
17,127.87,135.53,73.54,88.29,82.26,73.54,84.98,88.53,125.83,59.19,92.43,115.22,73.8
18,127.77,135.64,73.54,88.29,82.2,73.54,85.04,88.53,125.76,59.19,92.51,115.32,73.8
19,127.9,135.49,73.54,88.29,82.25,73.54,84.99,88.53,125.93,59.19,92.55,115.2,73.8
20,127.82,135.57,73.54,88.29,82.2,73.54,85.04,88.53,125.9,59.19,92.62,115.25,73.8
21,127.74,135.65,73.54,88.29,82.15,73.54,85.08,88.53,125.85,59.19,92.68,115.32,73.8
22,127.84,135.54,73.54,88.29,82.18,73.54,85.04,88.53,125.97,59.19,92.71,115.23,73.8
23,127.78,135.61,73.54,88.29,82.14,73.54,85.08,88.53,125.93,59.19,92.76,115.29,73.8
24,127.87,135.52,73.54,88.29,82.17,73.54,85.05,88.53,126.04,59.19,92.78,115.22,73.8
25,127.82,135.58,73.54,88.29,82.14,73.54,85.08,88.53,126,59.19,92.82,115.27,73.8
26,127.77,135.63,73.54,88.29,82.11,73.54,85.1,88.53,125.98,59.19,92.84,115.3,73.8
27,127.83,135.56,73.54,88.29,82.13,73.54,85.08,88.53,126.04,59.19,92.88,115.26,73.8
28,127.79,135.6,73.54,88.29,82.11,73.54,85.1,88.53,126.03,59.19,92.9,115.29,73.8
29,127.85,135.54,73.54,88.29,82.12,73.54,85.08,88.53,126.09,59.19,92.93,115.25,73.8
30,127.81,135.58,73.54,88.29,82.1,73.54,85.1,88.53,126.08,59.19,92.94,115.27,73.8
31,127.78,135.62,73.54,88.29,82.08,73.54,85.12,88.53,126.06,59.19,92.97,115.3,73.8
32,127.83,135.57,73.54,88.29,82.1,73.54,85.1,88.53,126.12,59.19,92.98,115.26,73.8
33,127.8,135.6,73.54,88.29,82.08,73.54,85.12,88.53,126.1,59.19,93,115.29,73.8
34,127.84,135.55,73.54,88.29,82.09,73.54,85.1,88.53,126.15,59.19,93.01,115.25,73.8
35,127.81,135.58,73.54,88.29,82.07,73.54,85.12,88.53,126.13,59.19,93.03,115.28,73.8
36,127.78,135.61,73.54,88.29,82.06,73.54,85.13,88.53,126.11,59.19,93.04,115.31,73.8
