,0to1,0to2,1to0,1to2,1to3,2to0,2to4,3to4,3to5,4to2,4to3,4to5,5to3
0,73.53989560029828,73.53989560029828,73.53989560029828,88.29231916480238,59.194630872483216,73.53989560029828,59.194630872483216,88.53467561521252,73.79567486950037,59.194630872483216,88.53467561521252,73.79567486950037,73.79567486950037
1,98.84,167.29,73.54,88.29,71.69,73.54,108.06,88.53,101.2,59.19,88.53,167.45,73.8
2,119.75,143.85,73.54,88.29,81.22,73.54,95.84,88.53,122.61,59.19,88.53,144.04,73.8
3,126.94,136.05,73.54,88.29,83.73,73.54,92.25,88.53,127.16,59.19,88.53,139.44,73.8
4,130.79,132.14,73.54,88.29,85.24,73.54,90.19,88.53,130.41,59.19,88.53,136.15,73.8
5,133.05,129.8,73.54,88.29,86.1,73.54,88.95,88.53,132.3,59.19,88.53,134.14,73.8
6,134.37,128.45,73.54,88.29,86.68,73.54,88.13,88.53,133.58,59.19,88.53,132.79,73.8
7,133.32,129.46,73.54,88.29,86.34,73.54,88.33,88.53,133.0,59.19,88.53,133.34,73.8
8,132.53,130.21,73.54,88.29,86.08,73.54,88.47,88.53,132.56,59.19,88.53,133.74,73.8
9,133.13,129.61,73.54,88.29,86.34,73.54,88.11,88.53,133.14,59.19,88.53,133.15,73.8
10,132.63,130.1,73.54,88.29,86.18,73.54,88.21,88.53,132.86,59.19,88.53,133.42,73.8
11,132.92,129.81,73.54,88.29,86.33,73.54,87.99,88.53,133.33,59.19,88.53,132.93,73.8
12,132.57,130.15,73.54,88.29,86.22,73.54,88.06,88.53,133.13,59.19,88.53,133.11,73.8
13,132.4,130.31,73.54,88.29,86.14,73.54,88.1,88.53,132.96,59.19,88.53,133.26,73.8
14,132.65,130.06,73.54,88.29,86.25,73.54,87.95,88.53,133.26,59.19,88.53,132.96,73.8
15,132.43,130.27,73.54,88.29,86.18,73.54,87.99,88.53,133.13,59.19,88.53,133.07,73.8
16,132.24,130.46,73.54,88.29,86.12,73.54,88.03,88.53,133.02,59.19,88.53,133.17,73.8
17,132.44,130.26,73.54,88.29,86.19,73.54,87.93,88.53,133.22,59.19,88.53,132.96,73.8
18,132.29,130.41,73.54,88.29,86.14,73.54,87.96,88.53,133.13,59.19,88.53,133.04,73.8
19,132.21,130.49,73.54,88.29,86.1,73.54,87.98,88.53,133.09,59.19,88.53,133.08,73.8
20,132.33,130.37,73.54,88.29,86.15,73.54,87.91,88.53,133.2,59.19,88.53,132.96,73.8
21,132.22,130.48,73.54,88.29,86.11,73.54,87.93,88.53,133.14,59.19,88.53,133.02,73.8
22,132.15,130.55,73.54,88.29,86.08,73.54,87.95,88.53,133.11,59.19,88.53,133.05,73.8
23,132.25,130.44,73.54,88.29,86.12,73.54,87.9,88.53,133.2,59.19,88.53,132.96,73.8
24,132.16,130.52,73.54,88.29,86.09,73.54,87.92,88.53,133.17,59.19,88.53,132.99,73.8
25,132.25,130.43,73.54,88.29,86.12,73.54,87.87,88.53,133.24,59.19,88.53,132.91,73.8
26,132.18,130.5,73.54,88.29,86.1,73.54,87.88,88.53,133.2,59.19,88.53,132.95,73.8
27,132.14,130.54,73.54,88.29,86.08,73.54,87.89,88.53,133.18,59.19,88.53,132.97,73.8
28,132.1,130.58,73.54,88.29,86.06,73.54,87.9,88.53,133.14,59.19,88.53,133.0,73.8
29,132.17,130.51,73.54,88.29,86.08,73.54,87.87,88.53,133.21,59.19,88.53,132.93,73.8
30,132.13,130.55,73.54,88.29,86.06,73.54,87.88,88.53,133.18,59.19,88.53,132.96,73.8
31,132.19,130.49,73.54,88.29,86.08,73.54,87.85,88.53,133.23,59.19,88.53,132.91,73.8
32,132.14,130.54,73.54,88.29,86.06,73.54,87.86,88.53,133.21,59.19,88.53,132.92,73.8
33,132.11,130.56,73.54,88.29,86.05,73.54,87.87,88.53,133.18,59.19,88.53,132.94,73.8
34,132.16,130.51,73.54,88.29,86.07,73.54,87.85,88.53,133.23,59.19,88.53,132.89,73.8
35,132.13,130.54,73.54,88.29,86.06,73.54,87.86,88.53,133.21,59.19,88.53,132.91,73.8
36,132.11,130.56,73.54,88.29,86.05,73.54,87.87,88.53,133.19,59.19,88.53,132.93,73.8
37,132.15,130.52,73.54,88.29,86.07,73.54,87.85,88.53,133.23,59.19,88.53,132.89,73.8
38,132.13,130.54,73.54,88.29,86.06,73.54,87.86,88.53,133.21,59.19,88.53,132.91,73.8
39,132.11,130.56,73.54,88.29,86.05,73.54,87.87,88.53,133.2,59.19,88.53,132.92,73.8
40,132.09,130.58,73.54,88.29,86.04,73.54,87.87,88.53,133.18,59.19,88.53,132.94,73.8
41,132.12,130.55,73.54,88.29,86.05,73.54,87.85,88.53,133.21,59.19,88.53,132.91,73.8
42,132.1,130.57,73.54,88.29,86.04,73.54,87.85,88.53,133.2,59.19,88.53,132.92,73.8
43,132.13,130.54,73.54,88.29,86.05,73.54,87.83,88.53,133.23,59.19,88.53,132.89,73.8
44,132.11,130.56,73.54,88.29,86.04,73.54,87.83,88.53,133.22,59.19,88.53,132.9,73.8
45,132.1,130.57,73.54,88.29,86.03,73.54,87.83,88.53,133.21,59.19,88.53,132.91,73.8
46,132.09,130.58,73.54,88.29,86.02,73.54,87.83,88.53,133.2,59.19,88.53,132.92,73.8
47,132.12,130.55,73.54,88.29,86.03,73.54,87.82,88.53,133.23,59.19,88.53,132.89,73.8
48,132.11,130.56,73.54,88.29,86.02,73.54,87.82,88.53,133.22,59.19,88.53,132.9,73.8
49,132.1,130.57,73.54,88.29,86.01,73.54,87.82,88.53,133.21,59.19,88.53,132.91,73.8
50,132.09,130.58,73.54,88.29,86.0,73.54,87.82,88.53,133.2,59.19,88.53,132.92,73.8
51,132.11,130.56,73.54,88.29,86.01,73.54,87.81,88.53,133.22,59.19,88.53,132.9,73.8
52,132.1,130.57,73.54,88.29,86.0,73.54,87.81,88.53,133.21,59.19,88.53,132.91,73.8
53,132.09,130.58,73.54,88.29,85.99,73.54,87.81,88.53,133.2,59.19,88.53,132.92,73.8
54,132.11,130.56,73.54,88.29,86.0,73.54,87.8,88.53,133.22,59.19,88.53,132.9,73.8
55,132.1,130.57,73.54,88.29,86.0,73.54,87.8,88.53,133.21,59.19,88.53,132.9,73.8
56,132.09,130.58,73.54,88.29,86.0,73.54,87.8,88.53,133.2,59.19,88.53,132.91,73.8
57,132.11,130.56,73.54,88.29,86.01,73.54,87.79,88.53,133.22,59.19,88.53,132.89,73.8
58,132.1,130.57,73.54,88.29,86.01,73.54,87.79,88.53,133.21,59.19,88.53,132.9,73.8
59,132.09,130.58,73.54,88.29,86.01,73.54,87.79,88.53,133.2,59.19,88.53,132.91,73.8
60,132.08,130.59,73.54,88.29,86.01,73.54,87.79,88.53,133.2,59.19,88.53,132.91,73.8
61,132.07,130.6,73.54,88.29,86.01,73.54,87.79,88.53,133.19,59.19,88.53,132.92,73.8
62,132.08,130.59,73.54,88.29,86.02,73.54,87.78,88.53,133.21,59.19,88.53,132.9,73.8
63,132.07,130.6,73.54,88.29,86.02,73.54,87.78,88.53,133.2,59.19,88.53,132.91,73.8
64,132.08,130.59,73.54,88.29,86.03,73.54,87.77,88.53,133.21,59.19,88.53,132.9,73.8
65,132.07,130.6,73.54,88.29,86.03,73.54,87.77,88.53,133.2,59.19,88.53,132.91,73.8
66,132.06,130.61,73.54,88.29,86.03,73.54,87.77,88.53,133.2,59.19,88.53,132.91,73.8
67,132.05,130.62,73.54,88.29,86.03,73.54,87.77,88.53,133.19,59.19,88.53,132.92,73.8
68,132.06,130.61,73.54,88.29,86.03,73.54,87.76,88.53,133.2,59.19,88.53,132.91,73.8
69,132.05,130.62,73.54,88.29,86.03,73.54,87.76,88.53,133.2,59.19,88.53,132.91,73.8
70,132.06,130.61,73.54,88.29,86.03,73.54,87.75,88.53,133.21,59.19,88.53,132.9,73.8
71,132.05,130.62,73.54,88.29,86.03,73.54,87.75,88.53,133.21,59.19,88.53,132.9,73.8
72,132.04,130.63,73.54,88.29,86.03,73.54,87.75,88.53,133.2,59.19,88.53,132.91,73.8
73,132.05,130.62,73.54,88.29,86.03,73.54,87.74,88.53,133.21,59.19,88.53,132.9,73.8
74,132.04,130.63,73.54,88.29,86.03,73.54,87.74,88.53,133.21,59.19,88.53,132.9,73.8
75,132.03,130.63,73.54,88.29,86.03,73.54,87.74,88.53,133.2,59.19,88.53,132.9,73.8
76,132.04,130.62,73.54,88.29,86.03,73.54,87.74,88.53,133.21,59.19,88.53,132.89,73.8
77,132.04,130.62,73.54,88.29,86.03,73.54,87.74,88.53,133.21,59.19,88.53,132.89,73.8
78,132.04,130.62,73.54,88.29,86.03,73.54,87.74,88.53,133.21,59.19,88.53,132.89,73.8
79,132.04,130.62,73.54,88.29,86.03,73.54,87.74,88.53,133.21,59.19,88.53,132.89,73.8
80,132.04,130.62,73.54,88.29,86.03,73.54,87.74,88.53,133.21,59.19,88.53,132.89,73.8
81,132.04,130.62,73.54,88.29,86.03,73.54,87.74,88.53,133.21,59.19,88.53,132.89,73.8
82,132.04,130.62,73.54,88.29,86.03,73.54,87.74,88.53,133.21,59.19,88.53,132.89,73.8
83,132.03,130.63,73.54,88.29,86.03,73.54,87.74,88.53,133.21,59.19,88.53,132.89,73.8
84,132.03,130.63,73.54,88.29,86.03,73.54,87.74,88.53,133.21,59.19,88.53,132.89,73.8
85,132.03,130.63,73.54,88.29,86.03,73.54,87.74,88.53,133.21,59.19,88.53,132.89,73.8
86,132.03,130.63,73.54,88.29,86.03,73.54,87.74,88.53,133.21,59.19,88.53,132.89,73.8
87,132.03,130.63,73.54,88.29,86.03,73.54,87.74,88.53,133.21,59.19,88.53,132.89,73.8
88,132.03,130.63,73.54,88.29,86.03,73.54,87.74,88.53,133.21,59.19,88.53,132.89,73.8
89,132.03,130.63,73.54,88.29,86.03,73.54,87.74,88.53,133.21,59.19,88.53,132.89,73.8
90,132.03,130.63,73.54,88.29,86.03,73.54,87.74,88.53,133.21,59.19,88.53,132.89,73.8
91,132.03,130.63,73.54,88.29,86.03,73.54,87.74,88.53,133.21,59.19,88.53,132.89,73.8
92,132.03,130.63,73.54,88.29,86.03,73.54,87.74,88.53,133.21,59.19,88.53,132.89,73.8
93,132.03,130.63,73.54,88.29,86.03,73.54,87.74,88.53,133.21,59.19,88.53,132.89,73.8
94,132.03,130.63,73.54,88.29,86.03,73.54,87.74,88.53,133.21,59.19,88.53,132.89,73.8
