Interval,Link,time,Vulnerability
$\Delta t1$,"(0, 1)",1665,0.255804054
$\Delta t1$,"(0, 2)",1672,0.542381882
$\Delta t1$,"(1, 0)",1638,0
$\Delta t1$,"(1, 2)",1638,0
$\Delta t1$,"(1, 3)",1672,0.071254481
$\Delta t1$,"(2, 0)",1638,0
$\Delta t1$,"(2, 4)",1702,0.128544511
$\Delta t1$,"(3, 4)",1638,0
$\Delta t1$,"(3, 5)",1645,0.228765168
$\Delta t1$,"(4, 2)",1638,0
$\Delta t1$,"(4, 3)",1638,0
$\Delta t1$,"(4, 5)",1668,0.522627988
$\Delta t1$,"(5, 3)",1638,0
$\Delta t2$,"(0, 1)",1658,0.051306798
$\Delta t2$,"(0, 2)",1664,2.318949689
$\Delta t2$,"(1, 0)",1638,0
$\Delta t2$,"(1, 2)",1638,0
$\Delta t2$,"(1, 3)",1667,0.016434734
$\Delta t2$,"(2, 0)",1638,0
$\Delta t2$,"(2, 4)",1738,0.435757914
$\Delta t2$,"(3, 4)",1638,0
$\Delta t2$,"(3, 5)",1659,0.057398346
$\Delta t2$,"(4, 2)",1638,0
$\Delta t2$,"(4, 3)",1638,0
$\Delta t2$,"(4, 5)",1681,2.260426092
$\Delta t2$,"(5, 3)",1638,0
$\Delta t3$,"(0, 1)",1669,0.045709854
$\Delta t3$,"(0, 2)",1668,2.194848253
$\Delta t3$,"(1, 0)",1638,0
$\Delta t3$,"(1, 2)",1638,0
$\Delta t3$,"(1, 3)",1769,0.017961539
$\Delta t3$,"(2, 0)",1638,0
$\Delta t3$,"(2, 4)",1817,0.413638537
$\Delta t3$,"(3, 4)",1638,0
$\Delta t3$,"(3, 5)",1735,0.07769446
$\Delta t3$,"(4, 2)",1638,0
$\Delta t3$,"(4, 3)",1638,0
$\Delta t3$,"(4, 5)",1735,1.938947237
$\Delta t3$,"(5, 3)",1638,0
