,0to1,0to2,1to0,1to2,1to3,2to0,2to4,3to4,3to5,4to2,4to3,4to5,5to3
0,5.532,21.704,0.0,0.0,4.54,0.0,16.952,0.0,7.936,0.0,0.0,19.44,0.0
1,25.856,0.0,0.0,0.0,20.588,0.0,0.0,0.0,26.156,0.0,0.0,0.0,0.0
2,0.0,26.156,0.0,0.0,0.0,0.0,20.54,0.0,0.0,0.0,0.0,25.624,0.0
3,26.14,0.0,0.0,0.0,20.836,0.0,0.0,0.0,26.384,0.0,0.0,0.0,0.0
4,0.0,26.084,0.0,0.0,0.0,0.0,20.648,0.0,0.0,0.0,0.0,25.764,0.0
5,25.952,0.0,0.0,0.0,20.64,0.0,0.0,0.0,26.152,0.0,0.0,0.0,0.0
6,0.0,26.084,0.0,0.0,0.0,0.0,20.648,0.0,0.0,0.0,0.0,25.764,0.0
7,25.952,0.0,0.0,0.0,20.64,0.0,0.0,0.0,26.152,0.0,0.0,0.0,0.0
8,0.0,26.084,0.0,0.0,0.0,0.0,20.648,0.0,0.0,0.0,0.0,25.764,0.0
9,26.084,0.0,0.0,0.0,20.6,0.0,0.084,0.0,20.768,0.0,0.0,5.236,0.0
10,0.032,25.948,0.0,0.0,3.176,0.0,17.468,0.0,11.692,0.0,0.0,14.492,0.0
11,21.844,4.12,0.0,0.0,11.54,0.0,9.116,0.0,7.18,0.0,0.0,18.58,0.0
12,16.32,9.636,0.0,0.0,18.78,0.0,1.808,0.0,26.272,0.0,0.0,0.0,0.0
13,3.52,22.356,0.0,0.0,0.0,0.0,20.52,0.0,0.0,0.0,0.0,25.548,0.0
14,26.052,0.0,0.0,0.0,20.716,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0
15,0.0,25.94,0.0,0.0,0.0,0.0,20.532,0.0,0.0,0.0,0.0,25.552,0.0
16,25.836,0.0,0.0,0.0,20.592,0.0,0.0,0.0,26.256,0.0,0.0,0.0,0.0
17,0.0,25.94,0.0,0.0,0.0,0.0,20.532,0.0,0.0,0.0,0.0,25.552,0.0
18,26.052,0.0,0.0,0.0,20.716,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0
19,0.0,26.064,0.0,0.0,0.0,0.0,20.612,0.0,0.0,0.0,0.0,25.772,0.0
20,25.748,0.0,0.0,0.0,20.592,0.0,0.0,0.0,26.236,0.0,0.0,0.0,0.0
21,0.0,26.084,0.0,0.0,0.0,0.0,20.648,0.0,0.0,0.0,0.0,25.764,0.0
22,25.952,0.0,0.0,0.0,20.64,0.0,0.0,0.0,26.152,0.0,0.0,0.0,0.0
23,0.0,26.084,0.0,0.0,0.0,0.0,20.648,0.0,0.0,0.0,0.0,25.764,0.0
24,25.952,0.0,0.0,0.0,20.64,0.0,0.0,0.0,26.152,0.0,0.0,0.0,0.0
25,0.0,26.192,0.0,0.0,0.0,0.0,20.684,0.0,0.0,0.0,0.0,25.76,0.0
26,25.964,0.0,0.0,0.0,20.716,0.0,0.0,0.0,26.344,0.0,0.0,0.0,0.0
27,0.0,26.084,0.0,0.0,0.0,0.0,20.648,0.0,0.0,0.0,0.0,25.764,0.0
28,25.952,0.0,0.0,0.0,20.64,0.0,0.0,0.0,26.152,0.0,0.0,0.0,0.0
29,0.0,26.084,0.0,0.0,0.0,0.0,20.648,0.0,0.0,0.0,0.0,25.764,0.0
30,25.952,0.0,0.0,0.0,20.64,0.0,0.0,0.0,26.152,0.0,0.0,0.0,0.0
31,0.0,26.084,0.0,0.0,0.0,0.0,20.648,0.0,0.0,0.0,0.0,25.764,0.0
32,25.952,0.0,0.0,0.0,20.64,0.0,0.0,0.0,26.152,0.0,0.0,0.0,0.0
33,0.0,25.936,0.0,0.0,0.0,0.0,20.62,0.0,0.0,0.0,0.0,25.804,0.0
34,26.028,0.0,0.0,0.0,20.704,0.0,0.0,0.0,26.168,0.0,0.0,0.0,0.0
35,0.0,25.94,0.0,0.0,0.0,0.0,20.532,0.0,0.0,0.0,0.0,25.552,0.0
36,26.052,0.0,0.0,0.0,20.716,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0
37,0.0,26.264,0.0,0.0,0.0,0.0,20.736,0.0,0.0,0.0,0.0,25.824,0.0
38,26.04,0.0,0.0,0.0,20.616,0.0,0.0,0.0,26.232,0.0,0.0,0.0,0.0
39,0.0,26.264,0.0,0.0,0.0,0.0,20.816,0.0,0.0,0.0,0.0,25.812,0.0
40,25.856,0.0,0.0,0.0,20.588,0.0,0.0,0.0,26.156,0.0,0.0,0.0,0.0
41,0.0,26.156,0.0,0.0,0.0,0.0,20.54,0.0,0.0,0.0,0.0,25.624,0.0
