,0to1,0to2,1to0,1to2,1to3,2to0,2to4,3to4,3to5,4to2,4to3,4to5,5to3
0,25.948,0.0,0.0,0.0,20.648,0.0,0.0,0.0,26.208,0.0,0.0,0.0,0.0
1,0.0,26.02,0.0,0.0,0.0,0.0,20.582,0.0,0.0,0.0,0.0,25.692,0.0
2,0.0,26.02,0.0,0.0,0.0,0.0,20.582,0.0,0.0,0.0,0.0,25.692,0.0
3,25.948,0.0,0.0,0.0,20.648,0.0,0.0,0.0,26.208,0.0,0.0,0.0,0.0
4,0.0,26.02,0.0,0.0,0.0,0.0,20.582,0.0,0.0,0.0,0.0,25.692,0.0
5,25.948,0.0,0.0,0.0,20.648,0.0,0.0,0.0,26.208,0.0,0.0,0.0,0.0
6,0.0,26.02,0.0,0.0,0.0,0.0,20.582,0.0,0.0,0.0,0.0,25.692,0.0
7,25.948,0.0,0.0,0.0,20.648,0.0,0.0,0.0,26.208,0.0,0.0,0.0,0.0
8,0.0,26.02,0.0,0.0,0.0,0.0,20.582,0.0,0.0,0.0,0.0,25.692,0.0
9,25.948,0.0,0.0,0.0,20.648,0.0,0.0,0.0,26.208,0.0,0.0,0.0,0.0
10,0.0,26.02,0.0,0.0,0.0,0.0,20.582,0.0,0.0,0.0,0.0,25.692,0.0
11,25.948,0.0,0.0,0.0,20.648,0.0,0.0,0.0,26.208,0.0,0.0,0.0,0.0
12,0.0,26.02,0.0,0.0,0.0,0.0,20.582,0.0,0.0,0.0,0.0,25.692,0.0
13,25.948,0.0,0.0,0.0,20.648,0.0,0.0,0.0,26.208,0.0,0.0,0.0,0.0
14,0.0,26.02,0.0,0.0,0.0,0.0,20.582,0.0,0.0,0.0,0.0,25.692,0.0
15,25.948,0.0,0.0,0.0,20.648,0.0,0.0,0.0,26.208,0.0,0.0,0.0,0.0
16,0.0,26.02,0.0,0.0,0.0,0.0,20.582,0.0,0.0,0.0,0.0,25.692,0.0
17,25.948,0.0,0.0,0.0,20.648,0.0,0.0,0.0,26.208,0.0,0.0,0.0,0.0
