,0to1,0to2,1to0,1to2,1to3,2to0,2to4,3to4,3to5,4to2,4to3,4to5,5to3
0,10.626,15.248,0.0,0.0,7.962,0.0,9.428,0.0,9.748,0.0,0.0,8.57,0.0
1,23.588,0.156,0.0,0.0,16.352,0.0,0.846,0.0,18.414,0.0,0.0,3.75,0.0
2,2.366,24.048,0.0,0.0,4.824,0.0,16.11,0.0,9.9,0.0,0.0,16.442,0.0
3,0.614,24.402,0.0,0.0,1.318,0.0,18.376,0.188,2.91,0.0,0.0,22.106,0.0
4,23.834,0.878,0.0,0.0,16.802,0.0,2.722,0.0,18.816,0.0,0.0,6.09,0.0
5,24.166,0.72,0.0,0.0,16.782,0.0,2.96,0.0,18.846,0.0,0.0,6.494,0.0
6,24.278,0.698,0.0,0.0,16.986,0.0,2.84,0.0,19.06,0.0,0.0,6.232,0.0
7,24.234,0.698,0.0,0.0,17.322,0.0,2.462,0.0,20.024,0.0,0.0,5.294,0.0
8,24.31,0.618,0.0,0.0,17.748,0.0,2.06,0.0,20.536,0.0,0.0,4.864,0.0
9,24.444,0.816,0.0,0.0,17.53,0.0,2.602,0.0,20.296,0.0,0.0,5.42,0.0
10,24.372,0.976,0.0,0.0,17.67,0.0,2.616,0.0,20.588,0.0,0.266,5.392,0.0
11,24.378,1.044,0.0,0.0,17.67,0.0,2.632,0.0,20.258,0.0,0.266,5.594,0.0
12,23.956,0.602,0.0,0.0,17.06,0.0,2.314,0.0,19.682,0.0,0.266,5.098,0.0
13,24.208,0.69,0.0,0.0,17.302,0.0,2.454,0.0,19.926,0.0,0.0,5.21,0.0
14,24.408,0.584,0.0,0.0,17.196,0.0,2.61,0.0,19.536,0.0,0.0,5.84,0.0
15,24.408,0.584,0.0,0.0,17.196,0.0,2.61,0.0,19.536,0.0,0.0,5.84,0.0
16,24.596,0.758,0.0,0.0,18.05,0.0,2.168,0.0,20.876,0.0,0.0,4.866,0.0
17,24.444,0.816,0.0,0.0,17.53,0.0,2.602,0.0,20.296,0.0,0.0,5.42,0.0
18,24.372,0.976,0.0,0.0,17.67,0.0,2.616,0.0,20.588,0.0,0.266,5.392,0.0
19,24.378,1.044,0.0,0.0,17.67,0.0,2.632,0.0,20.258,0.0,0.266,5.594,0.0
20,23.956,0.602,0.0,0.0,17.06,0.0,2.314,0.0,19.682,0.0,0.266,5.098,0.0
21,24.208,0.69,0.0,0.0,17.302,0.0,2.454,0.0,19.926,0.0,0.0,5.21,0.0
22,24.408,0.584,0.0,0.0,17.196,0.0,2.61,0.0,19.536,0.0,0.0,5.84,0.0
23,24.408,0.584,0.0,0.0,17.196,0.0,2.61,0.0,19.536,0.0,0.0,5.84,0.0
24,24.596,0.758,0.0,0.0,18.05,0.0,2.168,0.0,20.876,0.0,0.0,4.866,0.0
25,24.444,0.816,0.0,0.0,17.53,0.0,2.602,0.0,20.296,0.0,0.0,5.42,0.0
26,24.372,0.976,0.0,0.0,17.67,0.0,2.616,0.0,20.588,0.0,0.266,5.392,0.0
27,24.378,1.044,0.0,0.0,17.67,0.0,2.632,0.0,20.258,0.0,0.266,5.594,0.0
28,23.956,0.602,0.0,0.0,17.06,0.0,2.314,0.0,19.682,0.0,0.266,5.098,0.0
29,24.208,0.69,0.0,0.0,17.302,0.0,2.454,0.0,19.926,0.0,0.0,5.21,0.0
30,24.408,0.584,0.0,0.0,17.196,0.0,2.61,0.0,19.536,0.0,0.0,5.84,0.0
31,24.408,0.584,0.0,0.0,17.196,0.0,2.61,0.0,19.536,0.0,0.0,5.84,0.0
32,24.596,0.758,0.0,0.0,18.05,0.0,2.168,0.0,20.876,0.0,0.0,4.866,0.0
33,24.444,0.816,0.0,0.0,17.53,0.0,2.602,0.0,20.296,0.0,0.0,5.42,0.0
34,24.372,0.976,0.0,0.0,17.67,0.0,2.616,0.0,20.588,0.0,0.266,5.392,0.0
35,24.378,1.044,0.0,0.0,17.67,0.0,2.632,0.0,20.258,0.0,0.266,5.594,0.0
36,23.956,0.602,0.0,0.0,17.06,0.0,2.314,0.0,19.682,0.0,0.266,5.098,0.0
37,24.208,0.69,0.0,0.0,17.302,0.0,2.454,0.0,19.926,0.0,0.0,5.21,0.0
38,24.408,0.584,0.0,0.0,17.196,0.0,2.61,0.0,19.536,0.0,0.0,5.84,0.0
39,24.408,0.584,0.0,0.0,17.196,0.0,2.61,0.0,19.536,0.0,0.0,5.84,0.0
40,24.596,0.758,0.0,0.0,18.05,0.0,2.168,0.0,20.876,0.0,0.0,4.866,0.0
41,24.444,0.816,0.0,0.0,17.53,0.0,2.602,0.0,20.296,0.0,0.0,5.42,0.0
42,24.372,0.976,0.0,0.0,17.67,0.0,2.616,0.0,20.588,0.0,0.266,5.392,0.0
