Link,Interval,Vul alpha 1
1, t1,0.01555536
1, t2,0.715450773
1, t3,0.137411899
2, t1,1.19E-05
2, t2,1.33E-05
2, t3,9.76E-07
3, t1,0.012413237
3, t2,0.313707525
3, t3,0.111385148
4, t1,6.17E-05
4, t2,8.48E-05
4, t3,3.15E-06
5, t1,9.93E-05
5, t2,0.000509941
5, t3,0.000214956
6, t1,0.000205674
6, t2,0.000516276
6, t3,2.72E-05
7, t1,0.000546329
7, t2,0.000367427
7, t3,4.94E-05
8, t1,0.001030054
8, t2,0.003021263
8, t3,0.000599728
9, t1,0.000270832
9, t2,0.00111244
9, t3,5.84E-05
10, t1,0.001008866
10, t2,0.004094427
10, t3,1.18E-05
11, t1,0.000415021
11, t2,0.00170084
11, t3,0.000164037
12, t1,0.003619681
12, t2,0.011908854
12, t3,0.001082039
13, t1,0.000114809
13, t2,4.67E-05
13, t3,9.71E-07
14, t1,0.000538655
14, t2,0.001597372
14, t3,0.000522433
15, t1,0.002439748
15, t2,0.007339788
15, t3,0.000271305
16, t1,0.0001672
16, t2,0.000309086
16, t3,4.40E-05
17, t1,0.001543802
17, t2,0.002359336
17, t3,0.000125102
18, t1,1.60E-05
18, t2,4.93E-05
18, t3,5.75E-06
19, t1,0.000355565
19, t2,0.000854468
19, t3,0.000111258
20, t1,0.003857489
20, t2,0.022686603
20, t3,0.00238251
21, t1,0.000332115
21, t2,0.001768196
21, t3,3.41E-08
22, t1,0.001126699
22, t2,0.003689689
22, t3,0.000197523
23, t1,0.000237755
23, t2,0.000264604
23, t3,2.29E-05
24, t1,0.003696758
24, t2,0.01164158
24, t3,3.96E-05
25, t1,0.001133761
25, t2,0.002954606
25, t3,0.000141062
26, t1,5.39E-05
26, t2,0.000951326
26, t3,2.85E-05
27, t1,0.003246434
27, t2,0.011991258
27, t3,0.001539313
28, t1,0.016153341
28, t2,0.153199662
28, t3,0.003256184
29, t1,0.003985474
29, t2,0.012340576
29, t3,0.002165763
30, t1,0.000362233
30, t2,0.00696934
30, t3,7.67E-05
31, t1,0.000554026
31, t2,0.007441425
31, t3,0.000358139
32, t1,0.00346881
32, t2,0.004379434
32, t3,0.000639255
33, t1,0.000319725
33, t2,0.001523812
33, t3,0.000224523
34, t1,0.00207117
34, t2,0.010998044
34, t3,0.001917215
35, t1,0.000350993
35, t2,0.001267106
35, t3,0.000285496
36, t1,2.50E-05
36, t2,0.000142528
36, t3,1.74E-06
37, t1,0.050435218
37, t2,0.261575274
37, t3,0.017640061
38, t1,0.00977112
38, t2,0.02852428
38, t3,0.003336333
39, t1,0.000413165
39, t2,0.000372155
39, t3,2.10E-05
40, t1,0.003617751
40, t2,0.019426029
40, t3,0.001151778
41, t1,0.003745863
41, t2,0.00810648
41, t3,0.001152215
42, t1,4.53E-05
42, t2,0.000669812
42, t3,5.81E-06
43, t1,0.013927172
43, t2,0.009199356
43, t3,0.000444374
44, t1,0.000305194
44, t2,0.00127609
44, t3,4.74E-05
45, t1,0.002746392
45, t2,0.014832039
45, t3,0.001324118
46, t1,0.000196184
46, t2,0.001262698
46, t3,0.000375104
47, t1,0.002736351
47, t2,0.01368465
47, t3,0.001570001
48, t1,0.000749642
48, t2,0.001327785
48, t3,1.60E-05
49, t1,3.38E-05
49, t2,5.01E-05
49, t3,5.20E-06
50, t1,0.004352564
50, t2,0.018837993
50, t3,0.002329163
51, t1,0.000177025
51, t2,0.000593532
51, t3,0
52, t1,2.76E-05
52, t2,7.76E-05
52, t3,1.11E-05
53, t1,0.004262462
53, t2,0.010931174
53, t3,0.000864677
54, t1,3.96E-05
54, t2,9.93E-05
54, t3,5.27E-05
55, t1,0.0007489
55, t2,0.001342958
55, t3,8.33E-07
56, t1,0.030368363
56, t2,0.195133658
56, t3,0.00977645
57, t1,0.001325102
57, t2,0.009934155
57, t3,0.001674658
58, t1,0.001654642
58, t2,0.007578508
58, t3,0.000665909
59, t1,0.023557085
59, t2,2.790778434
59, t3,0.034268763
60, t1,0.007902636
60, t2,0.005335595
60, t3,0.001572755
61, t1,0.000331162
61, t2,0.001597371
61, t3,1.70E-06
62, t1,0.004891764
62, t2,0.004476028
62, t3,0.000636528
63, t1,0.000431458
63, t2,0.003408871
63, t3,0.000164465
64, t1,0.013186643
64, t2,0.416814215
64, t3,0.03636043
65, t1,0.001183322
65, t2,0.000754836
65, t3,2.25E-05
66, t1,0.002181369
66, t2,0.005530719
66, t3,0.001165283
67, t1,0.000148987
67, t2,0.000310988
67, t3,2.55E-05
68, t1,0.045551124
68, t2,6.7317455
68, t3,0.265782585
69, t1,6.86E-05
69, t2,0.000306282
69, t3,6.16E-05
70, t1,0.000161269
70, t2,0.000346712
70, t3,2.90E-06
71, t1,6.28E-05
71, t2,8.35E-05
71, t3,3.57E-07
72, t1,0.001311977
72, t2,0.006291154
72, t3,0.000218609
73, t1,0.000414575
73, t2,0.001174364
73, t3,3.09E-05
74, t1,0.001631022
74, t2,0.005150228
74, t3,0.001211927
75, t1,0.000869866
75, t2,0.001193534
75, t3,4.47E-05
76, t1,0.000177722
76, t2,0.000219043
76, t3,2.32E-06
