Scenario,Delta,Travel Time
Nominal,None,8221.0
S1,$\Delta t_1$,9596.0
S1,$\Delta t_2$,10833.0
S1,$\Delta t_3$,10681.0
S2,$\Delta t_1$,9326.0
S2,$\Delta t_2$,10389.0
S2,$\Delta t_3$,10213.0
S3,$\Delta t_1$,9002.0
S3,$\Delta t_2$,10101.0
S3,$\Delta t_3$,9997.0
S4,$\Delta t_1$,8788.0
S4,$\Delta t_2$,9032.0
S4,$\Delta t_3$,9811.0
S5,$\Delta t_1$,8227.0
S5,$\Delta t_2$,8147.0
S5,$\Delta t_3$,8217.0
S6,$\Delta t_1$,8196.0
S6,$\Delta t_2$,8167.0
S6,$\Delta t_3$,8223.0
S7,$\Delta t_1$,8320.0
S7,$\Delta t_2$,8399.0
S7,$\Delta t_3$,8957.0
S8,$\Delta t_1$,8249.0
S8,$\Delta t_2$,8249.0
S8,$\Delta t_3$,8745.0
S9,$\Delta t_1$,8209.0
S9,$\Delta t_2$,8221.0
S9,$\Delta t_3$,8242.0
S10,$\Delta t_1$,8262.0
S10,$\Delta t_2$,8259.0
S10,$\Delta t_3$,8272.0
S11,$\Delta t_1$,8340.0
S11,$\Delta t_2$,8318.0
S11,$\Delta t_3$,8331.0
S12,$\Delta t_1$,8411.0
S12,$\Delta t_2$,8451.0
S12,$\Delta t_3$,9050.0
